epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,89634.1,0.52652,0.25969,0.91451,0.77962,0.77929,0.70604,0.53934,1.17968,0.72681,1.81134,0.0002105,0.0002105,0.0002105
86,90609.7,0.52108,0.25619,0.91312,0.78497,0.78354,0.71946,0.54293,1.16689,0.71966,1.77242,0.000198125,0.000198125,0.000198125
87,91573.1,0.52173,0.25571,0.9131,0.786,0.78421,0.72297,0.54802,1.18128,0.70587,1.81305,0.00018575,0.00018575,0.00018575
88,92553.1,0.52223,0.25646,0.9119,0.78466,0.78424,0.71224,0.53865,1.18295,0.71196,1.81601,0.000173375,0.000173375,0.000173375
89,93555.7,0.51652,0.25241,0.91051,0.78573,0.78323,0.71954,0.54594,1.17769,0.70468,1.81783,0.000161,0.000161,0.000161
90,94560.8,0.51453,0.25158,0.90913,0.78297,0.78275,0.71544,0.54209,1.18288,0.70816,1.82923,0.000148625,0.000148625,0.000148625
91,95529.1,0.49866,0.22257,0.88701,0.78574,0.78522,0.71491,0.53642,1.17277,0.68275,1.82733,0.00013625,0.00013625,0.00013625
92,96481.2,0.49832,0.22012,0.88773,0.79153,0.79014,0.72675,0.54174,1.14895,0.69522,1.785,0.000123875,0.000123875,0.000123875
93,97454.9,0.48882,0.21706,0.88308,0.78861,0.78325,0.71819,0.54123,1.1798,0.69902,1.81945,0.0001115,0.0001115,0.0001115
94,98418.1,0.48092,0.21314,0.87859,0.78363,0.78133,0.70746,0.53478,1.17152,0.69209,1.81535,9.9125e-05,9.9125e-05,9.9125e-05
95,99370.1,0.48305,0.21023,0.88276,0.78208,0.78126,0.7131,0.53786,1.1819,0.67869,1.84402,8.675e-05,8.675e-05,8.675e-05
96,100340,0.48307,0.2096,0.87695,0.78262,0.78274,0.72272,0.54371,1.17562,0.67985,1.83961,7.4375e-05,7.4375e-05,7.4375e-05
97,101315,0.47706,0.20617,0.88016,0.78161,0.78126,0.70524,0.5326,1.19208,0.68029,1.86742,6.2e-05,6.2e-05,6.2e-05
98,102279,0.47719,0.2055,0.87643,0.78625,0.78459,0.71583,0.53673,1.16944,0.68067,1.82586,4.9625e-05,4.9625e-05,4.9625e-05
99,103247,0.4783,0.20788,0.87554,0.78304,0.78141,0.71548,0.54089,1.16753,0.68117,1.82423,3.725e-05,3.725e-05,3.725e-05
100,104219,0.47479,0.20488,0.87856,0.78459,0.78216,0.71388,0.53782,1.16323,0.67856,1.80875,2.4875e-05,2.4875e-05,2.4875e-05
